id,hashtags,retweet_id,user_id,user_loc,user_time_zone,user_created_at,user_desc,created_at,retweet_count,text
969962491328438272,['GunControl'],969925967597768707,340567206,"Long Beach, CA",Pacific Time (US & Canada),Fri Jul 22 22:24:52 +0000 2011,"Conservative. Love Rush, Drudge, Lucianne, Breitbart, Michelle Malkin, Ann Coulter, Mark Levin, Mark Steyn, Greg Gutfeld, Tucker, Sara Carter Jesse Waters",Sat Mar 03 15:47:33 +0000 2018,904,"b'RT @GeorgiaDirtRoad: ""Gun laws are the only laws that affect the law abiding &amp; DO NOT affect criminals one bit."" ~@dbongino on #GunControl\xe2\x80\xa6'"
969962478233964550,"['Liberal', '2AShallNotBeInfringed', 'GunControl', 'NoGunFreeZones']",969724464244998145,843214369701974016,"Newport, RI",,Sat Mar 18 21:35:46 +0000 2017,"Original thought. Liberals try something new, think before you write. Use a complete sentence, idiots go away. Molon Labe.",Sat Mar 03 15:47:30 +0000 2018,253,"b'RT @GemMar333: SIMPLE ENOUGH, EVEN A #Liberal CAN UNDERSTAND IT\xf0\x9f\x90\x91\xf0\x9f\x90\x91\xf0\x9f\x90\xba\xf0\x9f\x90\xba\n\n#2AShallNotBeInfringed \n#GunControl \n#NoGunFreeZones https://t.co/lHnd\xe2\x80\xa6'"
969962425318506496,"['POTUS', 'GunControl', 'SECRET', 'backroom', 'NRA', 'coward', 'LiarInChief']",969958718719889408,60623970,United States,Central Time (US & Canada),Mon Jul 27 15:22:17 +0000 2009,#midwestern #ordinaryfolk #publiceducation #publichealth #climatechangeisreal #scienceisreal #imstillwithher #theresistance,Sat Mar 03 15:47:17 +0000 2018,13,b'RT @TweeterDumb4: #POTUS performs about #GunControl w/room full of cameras - then #SECRET #backroom #NRA meeting where #coward #LiarInChief\xe2\x80\xa6'
969962297157406721,"['POTUS', 'GunControl', 'SECRET', 'backroom', 'NRA', 'coward', 'LiarInChief']",969958718719889408,493285723,"Connecticut, USA",,Wed Feb 15 16:55:07 +0000 2012,#FBR #guncontrol#EmmaGonzalez #TheResistance #ImpeachTrump #unhackthevote #2018BlueWave #MuellerTime,Sat Mar 03 15:46:47 +0000 2018,13,b'RT @TweeterDumb4: #POTUS performs about #GunControl w/room full of cameras - then #SECRET #backroom #NRA meeting where #coward #LiarInChief\xe2\x80\xa6'
969962239364075520,['GunControl'],,134934712,Sarasota FL (AKA Vern Land,Eastern Time (US & Canada),Mon Apr 19 21:59:59 +0000 2010,If you hate Bernie Sanders or the Left please just block me so i don't have to deal with your bullshit anymore or only talk about other subjects,Sat Mar 03 15:46:33 +0000 2018,0,b'The NRA is run by a bunch of greedy blood soaked ammosexual flying douche weasels. #GunControl'
969962203909709824,"['guns', 'Trump', 'Republicans', 'guncontrol']",969842116661825536,31386551,U.S.A.,Eastern Time (US & Canada),Wed Apr 15 11:28:17 +0000 2009,"White Rabbit Provocateur  J.D., MAGA",Sat Mar 03 15:46:25 +0000 2018,2,"b""RT @SOTTnet: Puppet Masters: 'Take the #guns first', #Trump parts with #Republicans over #guncontrol plan https://t.co/1L7ub7e6l7 #2ndAmend\xe2\x80\xa6"""
969962155729502208,['GunControl'],969925967597768707,757716002859651072,,,Mon Jul 25 23:15:47 +0000 2016,,Sat Mar 03 15:46:13 +0000 2018,904,"b'RT @GeorgiaDirtRoad: ""Gun laws are the only laws that affect the law abiding &amp; DO NOT affect criminals one bit."" ~@dbongino on #GunControl\xe2\x80\xa6'"
969962095025340416,"['GunControl', 'GunLaws', 'LawAbiding', 'Criminals']",969916920643416064,69670513,"Aurora, Colorado",Mountain Time (US & Canada),Fri Aug 28 19:21:32 +0000 2009,"A voice in the wilderness the rest is private, ask me,.#FollowBack..you can explain your life in a 147 letters? honor my sworn oath. #MAGA,@MSNBC IS POISON",Sat Mar 03 15:45:59 +0000 2018,239,"b'RT @ANOMALY1: \xf0\x9f\x91\x8d@dbongino on #GunControl \n\n""#GunLaws are the only laws that affect the #LawAbiding &amp; don\'t affect #Criminals one bit""#IStand\xe2\x80\xa6'"
969962092341153794,"['Liberal', '2AShallNotBeInfringed', 'GunControl', 'NoGunFreeZones']",969724464244998145,796899427235594241,"Fort Worth, TX",,Fri Nov 11 02:16:43 +0000 2016,"Born and raised in Canadian, Texas. Live in Ft Worth. TRUMP SUPPORTER! NRA! MAGA! Married to my best friend, Miss Laura...So Blessed! Wreck em Tech!!",Sat Mar 03 15:45:58 +0000 2018,253,"b'RT @GemMar333: SIMPLE ENOUGH, EVEN A #Liberal CAN UNDERSTAND IT\xf0\x9f\x90\x91\xf0\x9f\x90\x91\xf0\x9f\x90\xba\xf0\x9f\x90\xba\n\n#2AShallNotBeInfringed \n#GunControl \n#NoGunFreeZones https://t.co/lHnd\xe2\x80\xa6'"
969962009197395968,['guncontrol'],969244597451976712,823205404683309056,,,Sun Jan 22 16:27:17 +0000 2017,Organize to reverse gerrymandering,Sat Mar 03 15:45:38 +0000 2018,398,"b""RT @ProfDanBear: Listened to @PreetBharara pod w/ @shannonrwatts of @MomsDemand. She's one of the best voices on #guncontrol I've heard. Cl\xe2\x80\xa6"""
