"","Gun Control","Gun Rights","Neither","MeanDecreaseAccuracy","MeanDecreaseGini"
"X._treason",0,-0.664136177173202,0,-0.649504905514629,0.0490785071676291
"X._wethepeople",3.57644765673706,0.731585016761918,-1.00083437644887,2.9525631734465,0.264728395206371
"X._greatawakening",3.33987927024169,0.550524329368911,0,2.76515415554255,0.271287645208226
"X._qanon",9.7441051198478,0.0997940669744328,2.93369594822831,8.44249261207877,1.83047814396571
"X._banassaultrifles",0.630969085982267,-0.0347672293319846,1.00083437644887,0.819936409618605,0.11643085632033
"X._defendthesecond",4.53421165490051,0.356768514298399,1.00083437644887,3.44545361900206,0.420219045546512
"X._delta",2.66546815828351,-0.624846590337423,0,1.43887768363888,0.330344812227962
"X._amazon",0.978526909628985,1.57515085573208,0,1.63943405308468,0.204220295228835
"X._reagan",-1.00083437644887,1.41480823285856,0,0.584034562485071,0.150968447897808
"X._americafirst",5.06503386555675,-0.196866296372605,1.56939929193095,3.73275870156486,0.491668958521884
"X._2ndamendment",9.03210684806249,3.71289466943857,1.70793746817446,8.5323743421058,1.65002598211294
"X._trump2020",4.540674923013,0.670220009896112,0,3.99464120095686,0.27045297797412
"X._nodaca",1.00083437644887,-1.00083437644887,0,-0.0215963878395563,0.0595163033122236
"X._constitution",4.39940438162342,2.46713010651924,0,4.62605588005714,0.278809888430183
"X._liberty",1.62549167783771,2.00428338840786,0,2.15216629728645,0.0733440237982403
"X._redwaverising2018",0,0,0,0,0.0464391064357025
"X._waynelapierre",1.59024892429641,0.612875121781559,0,1.15103245100832,0.12888186386463
"X._cnn",-1.36791694006689,-2.05874510499834,0,-2.4208443732322,0.23246259486327
"X._draintheswamp",1.72691047312331,-1.46370579908146,0,-0.10667750386074,0.178993205704998
"X._cnnisfakenews",1.00083437644887,0.672186802468973,0,1.15810438847901,0.153691207714943
"X._thegreatawakening",1.73439011792366,-1.06920310196432,0,-0.24800701775893,0.0840556396226858
"X._resist",1.11762606519796,3.70682578380652,-1.0281640821583,3.3874944201298,0.492436719610257
"X._left",1.73424218564291,0.641089984294798,0,1.63858532030122,0.0868761228678764
"X._sheriffisrael",3.10655902339158,2.73347859573443,0,3.65893500578772,0.217608585961553
"X._education",-1.00083437644887,-1.00083437644887,0,-1.00083437644887,0.0288560173341427
"X._sheriffisraelresign",-1.00083437644887,1.00083437644887,0,0.0259995466585237,0.112433788881187
"X._guncontrolnow",1.10508768617863,9.29559265959584,2.71064976289374,7.98443493665914,1.57743992656552
"X._nwo",3.72168549149383,-0.0219952530863646,3.24543594425386,3.74868814395537,0.27804520680937
"X._livefreeordie",0,0,0,0,0.113871124937891
"X._corruption",1.00083437644887,0,0,1.00083437644887,0.0596523090149872
"X._racism",0.621817677997296,0,0,0.576528749892892,0.0883227371686842
"X._russia",0.909545221534973,2.24396640215519,2.4212118675588,2.55121918157848,0.285944268181741
"X._politics",1.37832094136447,1.38647409650477,2.8389848569928,2.7275645974662,0.292759549799303
"X._boycottnra",8.4608703943463,13.572053841082,1.68544925580148,12.9667072924207,3.85010480547039
"X._uspolitics",1.41649631719366,0,0,1.41647536355385,0.0484194510767078
"X._tuesdaythoughts",1.89569668846959,1.50352514389723,0,2.45649701490825,0.508425585017763
"X._tyranny",0,0.569919611352519,0,0.582450628262009,0.168802448747359
"X._fail",-0.618659369824247,2.00570119071839,0,0.522751745577968,0.152982579602525
"X._nraboycott",4.15228982110391,6.86749971417127,1.71249765180213,7.08098879825424,1.0606934340319
"X._nrabloodmoney",11.288010893669,12.4093985643626,3.16591783454235,13.489184945281,3.49818486487794
"X._ar15",2.80674200060068,-0.00190730361518415,0,2.28485657157805,0.350671960391769
"X._thestormisuponus",2.00553044553578,0,0,2.00613487588117,0.0537184365185864
"X._usmc",0,0.0019346268721073,0,-0.00289995338139275,0.055997639484884
"X._usaf",0,1.00083437644887,0,1.00083437644887,0.0537355381213164
"X._thestormishere",1.00083437644887,0,0,1.00083437644887,0.0207238978898638
"X._browardcowards",1.35320360141564,1.32873650674597,0,1.73745280588265,0.12333598539092
"X._browardsheriff",0,0,0,0,0.00900751034049211
"X._resignsheriffisrael",3.43570246665305,1.40181602061758,0,3.12403442652863,0.228802647507115
"X._q",1.41614872611718,2.00557512613424,0,1.90434282579978,0.0483774153281985
"X._mentalhealth",-1.75156380747562,3.18772837750102,2.87382064258679,1.749876335947,0.144034020455895
"X._scotus",-0.993934225927391,1.73554514835814,-0.137989020650423,0.379017410593206,0.188065947460533
"X._gunreform",1.63547988211283,4.89333230348633,1.00083437644887,4.24105771736515,0.640978289570487
"X._guncontolnow",2.66683234838476,5.68082709164084,0,5.18675113337876,0.749739848158735
"X._censorship",0,-1.00083437644887,0,-1.00083437644887,0.0862445870743758
